年度,Y,YR,C,CR,PC,SALES,GR,G,PG,X,XR,PX,M,MR,PM,PY,PI,I_N,IR_N,K_N,KCG_N,D_N,DELTA_N,KTR_N,NP_N,I_H,IR_H,K_H,KCG_H,D_H,DELTA_H,KTR_H,NP_H,I_F,IR_F,K_F,KCG_F,D_F,DELTA_F,KTR_F,NP_F,I_G,IR_G,K_G,KCG_G,D_G,DELTA_G,KTR_G,NP_G,KTR_W,NP_W,I,IR,KR_N,KR_H,DPH,PH,WB_N,WB_H,WB_W,N,UN,W,N_W,N_N,LF,UR,T_N,T_H,T_F,T_W,T_G,B2,B2_N,B2_H,B2_F,B2_G,SBEN_H,SCON_H,OTR_H,STR_H,STR_N,STR_F,STR_W,STR_G,CPEN_H,CPEN_F,Y_H,YD_H,YDR_H,S_N,NL_N,S_H,NL_H,S_F,NL_F,S_G,NL_G,S_W,NL_W,CAB,TAU_N,TAU_H,TAU_SC,YFC,WS,ULC,YR_W,TIME,GOLD,D2007,D2008,D2009,D2010,D2011,D2014,D2020,YR_GAP,NW_N,NW_H,NW_F,NW_G,FNWR_H,NWR_H,IBA_H,IBL_H,EQA_H,PENA_H,NIB_N,NEQ_N,NIB_G,NIB_W,NEQ_W,NPEN_W,NEQ_F,PENL_F,IBA_FH,IBL_FH,NIB_F,IBATR_H,IBLTR_H,EQATR_H,PENATR_H,NIBTR_N,NEQTR_N,NIBTR_G,NIBTR_W,NEQTR_W,NPENTR_W,NEQTR_F,PENLTR_F,IBATR_FH,IBLTR_FH,NIBTR_F,IBACG_H,IBLCG_H,EQACG_H,PENACG_H,NIBCG_N,NEQCG_N,NIBCG_G,NIBCG_W,NEQCG_W,NPENCG_W,NEQCG_F,PENLCG_F,IBACG_FH,IBLCG_FH,NIBCG_F,FNW_H,FNW_N,FNW_F,FNW_G,FNW_W,FA_H,FL_H,FATR_H,FLTR_H,RA_H,RL_H,RN,CHI,PSI,EPS_N,EPS_H,EPS_F,EPS_G,EPS_W,FNL_H,GAPNL_H,FNL_N,GAPNL_N,FNL_F,GAPNL_F,FNL_G,GAPNL_G,FNL_W,GAPNL_W
2004,529637.9,504269.4,341905.1,333191.1,1.0261531595531814,588715.7,40550.3,41902.3,1.0333413069693689,68504.0,66783.7,1.025759279584689,59077.7,73285.8,0.8061275171997849,1.0503074348750885,0.982,85945.0,87520.36659877801,794209.0,-638.6,77081.1,0.09806959101060239,2881.7,-4431.8,25732.1,26203.76782077393,410173.9,1659.0,25719.2,0.06295978967055241,-1502.7,2932.6,2684.0,2733.197556008147,9892.8,-112.4,2374.1,0.24487122626427238,-5429.5,-656.8,22043.2,22447.25050916497,521159.4,5318.5,16812.6,0.03292648033147784,3641.9,2155.9,408.6,0.0,136404.30000000002,138904.58248472508,808766.8024439919,417692.3625254583,0.0040611796270275296,0.9564723529356677,256310.1,256437.0,-126.9,6332.0,308.0,40.49857864813645,-3.1334433018636156,6328.866556698136,6640.0,0.0463855421686747,52236.9,24129.1,1657.1,0.0,78023.1,243696.4,139639.2,65761.9,21482.7,16812.6,67750.0,65037.6,54370.3,57082.700000000004,5604.7,-725.0,748.7,-62711.1,-1024.9,-1024.9,398879.2,374750.1,365198.9924809837,115337.8,36706.3,31820.1,1652.7,19433.6,11976.899999999998,-6398.1,-26955.300000000003,-19234.2,-18825.600000000002,18825.600000000002,0.09862757178064485,0.0643871742796066,0.17493740861442522,500006.5,0.5126135360240317,0.5429920545659757,143.503062,11.0,1125.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1874.482484725013,166172.80000000005,1615600.4,2356.2999999999993,146938.00000000006,1174704.271753039,1574424.231859776,875757.3999999999,333988.49999999994,180348.6,483309.0,-393382.5,-234653.7,-374221.39999999997,-293448.5,98941.2,0.0,-44636.1,483309.0,333988.49999999994,875757.3999999999,1062177.5,-1426.7000000000007,2081.6,1851.2,5262.7,41159.8,-7954.6,-30639.199999999997,-28664.0,9838.4,0.0,-3735.0,5262.700000000001,2081.6,-1426.7000000000007,18143.4,7261.100000000024,384.3999999999419,18454.9,-7317.0,-20724.600000000002,-14974.7,16987.6,-11388.5,227.5,0.0,-3707.7000000000003,-7317.0,384.3999999999419,7261.100000000024,15166.900000000083,1205426.5,-628036.2,-7536.5,-374221.39999999997,-194507.3,1539415.0,333988.49999999994,5687.199999999999,2081.6,0.005864523668312709,0.006228058750525842,0.0029650896501375937,0.013518045156817067,0.02379825586318537,-1380.2848494522332,2409.738257990044,7231.698987943551,6044.300000000001,-9758.461207507808,3605.599999999999,1952.899999999999,33205.200000000004,-3501.0999999999985,12654.0,677.1000000000022,-30639.199999999997,-3683.899999999994,-18825.6,3.637978807091713e-12
2005,534106.2,515134.1,345995.1,339276.8,1.0198018255300687,603736.0,40065.1,41578.0,1.0377610439010512,76745.9,73090.4,1.0500134080535883,69629.7,77708.5,0.8960371130571302,1.0368294391693347,0.983,90451.0,92015.25940996948,812700.8,6700.4,78659.6,0.09904143619626572,2625.5,-12185.4,25352.1,25790.539165818922,411553.6,1654.4,25626.8,0.06247789047523501,-1470.8,1180.8,2361.2,2402.0345879959305,10013.0,221.4,2462.4,0.24890829694323147,-3115.3,8886.3,21252.7,21620.244150559512,531270.4,5775.5,16917.2,0.03246070204240775,1239.1,2118.3,721.4,0.0,139417.0,141828.07731434386,826755.6459816888,418671.00712105795,0.004033411194617698,0.9603301992313407,261520.2,261644.3,-124.1,6366.0,289.0,41.10026704366949,-3.0194451016131443,6362.980554898387,6655.0,0.043425995492111194,56181.9,25170.8,2284.3,0.0,83637.1,237382.9,134540.5,64103.5,21821.6,16917.2,66795.3,65685.3,55924.9,57034.90000000001,4957.9,1131.7,582.8,-63707.30000000001,325.3,325.3,403642.2,378471.4,371122.49706287746,105803.3,30163.200000000004,32801.6,4797.9,19563.7,5200.900000000001,555.3,-21576.600000000002,-19412.8,-18691.399999999998,18691.399999999998,0.10518863102506582,0.06650647842875312,0.17527760499596934,498903.1,0.5241903688311418,0.561177763724057,150.441858,12.0,1681.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1417.777314343839,67514.59999999998,1696278.5,27.400000000023283,182059.1000000001,1259778.976500881,1663341.3056682015,876084.6,335933.39999999997,260543.7,484030.0,-384681.4,-360504.80000000005,-349211.29999999993,-349284.6,170624.7,0.0,-70663.6,484030.0,335933.39999999997,876084.6,1084859.2,114.69999999999936,2853.3,7463.3,5295.7,21090.0,-3400.8999999999996,-21462.4,-35398.0,16706.6,0.0,-20769.0,5295.700000000001,2853.3,114.69999999999936,35770.4,212.5000000000705,-908.3999999999769,72731.8,-4574.7,-12388.9,-122450.2,46472.5,-20438.1,54976.9,0.0,-5258.5,-4574.700000000001,-908.3999999999769,212.5000000000705,-13088.699999999952,1284724.9,-745186.2000000001,-9985.599999999977,-349211.29999999993,-178659.89999999997,1620658.3,335933.39999999997,12873.7,2853.3,0.008952217628297541,0.007563106258561965,0.00228600849972495,0.017423974137207286,0.02462399831163914,-7461.285620704686,2760.310657918395,11805.086740126779,6395.899999999999,-13609.147799705854,10020.400000000001,5222.500000000002,17689.1,-12474.100000000006,12444.300000000003,7243.400000000002,-21462.4,114.20000000000073,-18691.4,-3.637978807091713e-12
2006,537257.9,521784.6,347509.3,341618.1,1.017244987897304,615444.7,39943.0,41222.8,1.0320406579375612,85966.1,79433.4,1.0822412234651924,78186.8,80486.4,0.971428713422392,1.0296545739372147,0.99,93712.3,94658.88888888889,834399.7,9042.2,81055.6,0.0997360898377361,2522.3,1897.5,24765.3,25015.454545454544,418222.0,7673.8,25770.7,0.06261808911403036,-1046.1,-3372.1,2352.3,2376.0606060606065,9898.3,-13.7,2453.3,0.24501148506940978,-1669.2,-447.7,19916.6,20117.777777777777,539996.2,5856.2,17047.0,0.032087238438279264,-315.7,1922.3,508.6,0.0,140746.5,142168.18181818182,842827.9797979797,422446.4646464646,0.018645930930989308,0.9782364497971513,265637.3,265771.5,-134.2,6398.0,271.0,41.53977805564239,-3.2306383491081623,6394.769361650892,6669.0,0.04063577747788274,57761.3,26503.3,3410.1,0.0,87674.6,240593.6,138009.2,64635.6,20901.7,17047.0,68228.9,67500.5,55401.3,56129.7,5523.7,922.9,978.3,-63554.6,156.1,156.1,410649.0,384145.7,377633.41630618233,107017.1,13929.600000000002,36792.5,14353.2,16787.6,13213.8,5760.8,-16393.8,-21886.5,-21377.9,21377.9,0.10751130881463074,0.06899283266739677,0.178350332416135,506230.9,0.524735451747414,0.5568965996768805,158.387572,13.0,1922.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-891.6818181817653,78950.09999999986,1725205.3,32141.000000000186,188092.30000000005,1284826.4828530634,1695958.5159186532,880597.7999999999,331991.49999999994,273168.4,485208.6,-356341.6,-399108.00000000006,-351903.8999999999,-406259.9,186309.4,0.0,-60369.799999999996,485208.6,331991.49999999994,880597.7999999999,1116427.4000000001,4022.2,-3240.8,9690.8,3397.0,18112.199999999997,-16454.2,-13101.0,-30665.499999999996,9287.6,0.0,-2524.2000000000003,3397.0,-3240.8,4022.2,25654.299999999996,490.9999999999536,-701.1000000000231,2933.9,-2218.4,10227.6,-22149.0,10408.4,-26309.800000000003,6397.1,0.0,12818.0,-2218.3999999999996,-701.1000000000231,490.9999999999536,5913.899999999977,1306983.3,-755449.6000000001,22242.700000000186,-351903.8999999999,-219950.50000000003,1638974.7999999998,331991.49999999994,17110.0,-3240.8,0.011923263946378247,0.009123727565314174,0.0048811621581914865,0.0158949339925571,0.02518273660723509,-3171.9150499139214,2479.475086323393,14663.795905471648,6614.899999999999,-16864.900779576827,20350.8,5997.5999999999985,1657.9999999999964,-12271.600000000006,12470.099999999995,-743.7000000000044,-13101.0,3292.7999999999993,-21377.899999999994,7.275957614183426e-12
2007,538485.5,527271.6,350664.7,344849.9,1.0168618288710538,624254.1,40112.8,41349.4,1.0308280648571029,94602.0,86992.4,1.0874743081004778,85768.8,82531.1,1.0392300599410405,1.021267786848372,0.996,94088.0,94465.86345381525,854975.1,9886.3,83398.9,0.0999507789851794,2250.2,1126.4,22179.5,22268.574297188756,421092.1,6637.1,25946.5,0.06204001702445113,-633.8,-2177.0,2431.2,2440.9638554216867,9824.8,-77.2,2427.5,0.24524413283089017,-2007.3,-808.4,18939.3,19015.36144578313,554070.0,12302.0,17167.5,0.0317918903873768,5.4,1859.0,385.6,0.0,137638.0,138190.76305220884,858408.734939759,422783.2329317269,0.015869801206058028,0.9937608677879521,267143.5,267280.1,-136.6,6431.0,255.0,41.56120354532732,-3.2867190636339934,6427.713280936366,6686.0,0.03813939575231828,58240.899999999994,28680.1,3070.9,0.0,89991.8,240036.4,139160.5,64054.6,19653.9,17167.5,69444.8,68318.3,57423.4,58549.90000000001,5467.5,528.8,1069.4,-65615.6,61.0,61.0,414947.8,386267.7,379862.52314028185,108183.1,15218.900000000005,35664.0,15027.7,16454.6,12824.499999999998,5072.5,-15720.4,-24337.6,-23952.0,23952.0,0.10815685844837046,0.07424928359270008,0.17784476046458414,507179.9,0.5267233579248705,0.5592352748085104,165.822748,14.0,2282.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-343.16305220883805,240055.5,1644194.7000000002,35775.70000000014,165982.90000000002,1202820.8408195635,1616930.298018392,885082.3,326722.2,188301.0,476441.5,-358004.89999999997,-256914.7,-388087.1,-383828.4,140063.7,0.0,-71450.0,476441.5,326722.2,885082.3,1132202.5000000002,5035.2,-5509.900000000001,8530.5,-2121.7,5796.5,-523.5999999999999,-10968.499999999998,-24247.0,295.0,0.0,-8301.9,-2121.7000000000003,-5509.900000000001,5035.2,29419.000000000004,-550.6999999998834,240.6000000000704,-93397.9,-6645.4,-7459.8,142716.9,-25214.7,46678.5,-46540.7,0.0,-2778.3,-6645.4,240.6000000000704,-550.6999999998834,-13643.899999999954,1223102.6,-614919.6,25950.90000000014,-388087.1,-243764.7,1549824.8,326722.2,11444.0,-5509.900000000001,0.01106371689954708,0.008846353262802467,0.006338267878525206,0.012713851889714056,0.023861077482962997,-2696.038866690593,2541.977421449905,13770.069518563547,6595.9000000000015,-16822.889666990835,16953.9,1926.2000000000007,5272.9,-9946.000000000005,12693.700000000004,-130.79999999999382,-10968.499999999998,4751.9000000000015,-23952.0,0.0
2008,516174.9,508262.0,345367.2,339214.8,1.018137180335292,597773.2,38927.1,40221.8,1.033259605775925,80651.2,78098.5,1.0326856469714527,81598.3,78965.3,1.0333437598540118,1.0155685453565289,1.001,88710.2,88621.57842157842,868735.8,10262.3,85211.8,0.09966582652524034,2434.4,1052.4,21934.4,21912.487512487518,423649.4,6509.5,25886.6,0.061474912495389965,-238.8,-3022.5,2569.5,2566.933066933067,9533.7,-484.4,2376.2,0.24185734060744238,758.7,-3.7,18318.9,18300.599400599403,563488.2,8349.1,17249.8,0.0311328893461115,-3448.2,1973.8,493.9,0.0,131533.0,131401.59840159843,867867.9320679322,423226.1738261739,0.015458613448221898,1.0091230329030556,265386.8,265523.7,-136.9,6399.0,275.0,41.49456165025786,-3.2992275265823725,6395.700772473418,6674.0,0.041204674857656574,52202.5,27880.3,1872.3,0.0,81955.1,217023.9,121308.2,63185.4,15280.6,17249.8,70650.2,68974.6,58020.9,59696.5,5600.4,842.9,1046.0,-67185.8,194.8,194.8,411138.3,383258.0,376430.6101401638,94046.9,6718.699999999997,38085.6,18934.899999999998,13980.0,12172.900000000001,-4148.6,-27889.5,-10688.5,-10194.6,10194.6,0.10113335615505518,0.07274551346612465,0.17856683331275175,482410.69999999995,0.550126272074811,0.5886299235808584,169.2368,15.0,2216.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-414.69840159843443,366743.20000000007,1603152.0,24209.09999999979,124210.0,1158490.8426697147,1574593.3170538486,895477.4999999999,321417.2,136219.3,469223.0,-356406.6,-145586.0,-439278.19999999995,-324030.3,73339.8,0.0,-63973.1,469223.0,321417.2,895477.4999999999,1121931.7999999998,11723.699999999999,-7215.7,83.5,-5505.0,17058.4,-6381.6,-27587.0,-3897.7999999999993,-6296.8,0.0,12594.9,-5505.0,-7215.7,11723.699999999999,14426.4,-1328.500000000162,1910.6999999999998,-52165.2,-1713.5,-15460.100000000002,117710.3,-23604.1,63695.9,-60427.1,0.0,-5118.0,-1713.5,1910.6999999999998,-1328.500000000162,-24697.10000000016,1179502.5999999999,-501992.6,14675.39999999979,-439278.19999999995,-250690.5,1500919.7999999998,321417.2,6302.199999999999,-7215.7,0.008899609426255825,0.0068297527325855605,0.007222302404262264,0.02463191090272374,0.02226380363591333,-5825.969041975419,585.08654510614,12016.747296263675,6513.9,-13561.92936052011,13517.899999999998,-5417.0,10676.800000000001,3958.100000000004,13586.9,1413.9999999999982,-27587.0,302.5,-10194.599999999999,1.8189894035458565e-12
2009,497364.2,495875.6,341834.4,342771.9,0.9972649449969498,558713.9,39743.3,40021.0,1.0069873412625523,66348.8,71090.7,0.933297885658743,61349.8,70640.2,0.8684828185650664,1.0030019625890043,0.978,70736.9,72328.11860940694,837356.3,-18250.0,83866.4,0.09653844126142838,3360.7,6005.6,17392.3,17783.537832310838,403801.2,-12234.4,25006.1,0.05902545831529561,-354.8,-7917.5,2632.5,2691.717791411043,9672.1,-162.0,2332.1,0.24461646580026639,-1158.2,-116.7,19748.0,20192.229038854806,552051.0,-14383.3,16801.9,0.02981766077798968,-2336.3,2028.6,488.5,0.0,110509.7,112995.60327198364,856192.5357873212,412884.6625766871,-0.02887859631100622,0.9799809762077101,252538.2,252674.2,-136.0,6300.0,343.0,40.107015873015875,-3.390927922201792,6296.609072077798,6643.0,0.051633298208640675,43769.9,25558.4,1542.2,0.0,70870.5,215365.5,120938.8,62513.4,15111.3,16801.9,74224.8,66517.1,61029.0,68736.69999999998,6971.1,488.0,1047.9,-77243.69999999998,-597.8,-597.8,406086.1,380527.7,381571.3185438037,102847.9,29466.100000000002,38095.5,28265.9,14964.6,11290.6,-26216.8,-50329.700000000004,-16755.1,-16266.599999999999,16266.599999999999,0.08800372041252667,0.06716567545542677,0.17355697728423153,467903.7,0.5397225967651036,0.5737050114414532,170.952482,16.0,2559.7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-85.70327198359882,318993.30000000005,1630205.0999999999,47724.70000000003,78122.19999999995,1229767.3814291656,1634676.028851075,905515.2,316156.1,163960.6,473084.2,-314238.49999999994,-204124.50000000003,-473928.80000000005,-374708.10000000003,105103.1,0.0,-64939.2,473084.2,316156.1,905515.2,1165435.1,9747.099999999999,-4654.6,230.0,-404.2,37893.100000000006,-6597.200000000001,-45543.3,-24865.3,8598.8,0.0,-2231.6,-404.20000000000005,-4654.6,9747.099999999999,32515.500000000007,290.6000000000713,-606.5000000000346,27511.3,4265.4,4275.0,-51941.3,10892.699999999999,-25812.5,23164.5,0.0,1265.5,4265.400000000001,-606.5000000000346,290.6000000000713,10987.800000000107,1226403.9,-518363.0,38052.600000000035,-473928.80000000005,-269605.0,1542560.0,316156.1,9572.899999999998,-4654.6,0.008223053572154283,0.005270181407222572,0.007630049070662089,0.032808786559147166,0.023063447443965875,-3402.0237559250672,1096.5100610634545,10901.749046868688,6548.09999999998,-12733.945029746717,14227.499999999998,-14038.400000000003,31295.900000000005,1829.800000000003,16286.400000000012,4995.800000000012,-45543.3,4786.4000000000015,-16266.5,0.09999999999854481
2010,504873.7,512064.7,343709.8,348261.4,0.9869305067974802,575574.8,40264.2,40154.3,0.9972705281614935,76081.6,83833.4,0.9075332743274162,70701.1,79161.3,0.893127070929861,0.9859568527180257,0.97,76467.0,78831.9587628866,830371.8,-1468.1,81983.4,0.09790742602641192,3406.5,838.7,18400.5,18969.58762886598,398992.3,1040.3,24249.7,0.06005356100972459,2143.7,-2181.4,2447.2,2522.8865979381444,9655.2,-59.7,2404.4,0.24859130902285956,-3759.9,-187.6,18314.4,18880.824742268043,558107.1,4506.1,16764.4,0.03036748416360083,-2270.7,1530.2,480.5,0.0,115629.1,119205.25773195877,856053.4020618558,411332.26804123714,0.0025762677277828792,0.9825056695705553,251020.9,251154.8,-133.9,6302.0,328.0,39.853189463662325,-3.35983146648999,6298.64016853351,6630.0,0.04947209653092006,47645.2,24830.0,1332.3,0.0,73807.6,225281.8,131955.0,62238.2,14324.1,16764.4,75942.9,68137.9,60439.5,68244.5,6745.8,139.8,905.8,-76035.90000000001,-532.3,-532.3,403646.0,378816.0,383832.496199992,112291.1,38391.90000000001,34573.9,20498.500000000004,13490.5,7471.0,-22526.4,-44641.7,-18262.1,-17781.6,17781.6,0.09437053266985386,0.0655463338401757,0.17906160313690697,476302.69999999995,0.527019687270301,0.5586329438926125,179.340809,17.0,2932.8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-338.2577319587581,347284.0,1647312.4000000001,42488.89999999989,31187.79999999993,1264851.0623617368,1669127.044563059,914175.9,310655.10000000003,168501.0,476298.3,-283187.60000000003,-199900.2,-526919.3,-367942.6,99728.7,0.0,-68329.5,476298.3,310655.10000000003,914175.9,1180982.2999999998,9009.300000000001,-5044.9,2560.0,4977.9,37702.0,-5014.3,-41000.6,-21561.4,3779.7,0.0,-1325.3999999999999,4977.9,-5044.9,9009.300000000001,24860.000000000004,-348.59999999993124,-456.09999999994216,1980.4,-1763.8,-6651.099999999999,9238.6,-11989.9,28326.899999999998,-9154.1,0.0,-2064.9,-1763.7999999999997,-456.09999999994216,-348.59999999993124,-9312.79999999999,1248320.1,-483087.80000000005,32833.699999999895,-526919.3,-268213.89999999997,1558975.2,310655.10000000003,16547.2,-5044.9,0.008292714782789614,0.004642125624205106,0.008308672694281649,0.014010567080384763,0.022751129714329923,-2077.9448251087742,3168.219015159877,8387.208016074543,6707.9000000000015,-12267.01284273183,21592.1,1093.599999999995,32687.7,-5704.200000000008,4502.500000000004,-2968.4999999999964,-41000.6,3641.0999999999985,-17781.7,-0.10000000000218279
2011,500046.2,514686.7,346284.4,351865.1,0.9841396603414208,578467.9,40415.2,40097.3,0.9921341475484473,73252.3,82634.4,0.8864625386037777,78421.7,83257.1,0.9419220703099194,0.9715545398783376,0.967,79303.8,82010.13443640125,824503.6,-4710.1,80461.9,0.09689864227084782,4903.9,2961.6,19138.5,19791.623578076527,391561.0,-2911.0,23658.8,0.059296382411389896,-278.6,-3891.4,2250.8,2327.6111685625647,9363.8,-154.6,2387.6,0.24728643632446762,-1555.5,-479.8,18140.8,18759.875904860393,561536.5,2053.6,16765.0,0.03003903731022236,-2813.7,1409.6,-256.1,-0.0,118833.90000000001,122889.24508790074,852640.7445708376,404923.474663909,-0.007295880146057957,0.9753374259625461,251847.9,251977.0,-129.1,6285.0,298.0,40.09180588703262,-3.2201093750620093,6281.779890624938,6583.0,0.045268114841257784,48269.1,25127.9,2129.2,0.0,75526.3,214750.8,124806.5,59862.3,13317.0,16765.0,76733.0,69860.5,63288.9,70161.4,6358.8,-251.5,786.9,-77055.59999999999,-835.8,-835.8,404999.9,379872.0,385993.9958808424,103898.2,26536.699999999997,32751.8,17226.100000000002,11770.0,8443.5,-21955.1,-44319.19999999999,-8191.8,-8447.9,8447.9,0.09652928069446383,0.06614833417572236,0.18441802880554148,466598.69999999995,0.5397526825514087,0.5784441273617742,186.275398,18.0,3360.8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,139.85491209925385,360813.5,1660377.2999999998,62680.99999999984,-11203.400000000023,1289264.4724426798,1687135.8475929897,932018.6,309169.89999999997,165880.6,480087.0,-265896.9,-197793.19999999998,-572739.9,-380395.80000000005,98053.1,0.0,-66140.5,480087.0,309169.89999999997,932018.6,1222393.4,18464.300000000003,-803.8000000000001,-3219.7,2112.9,17616.8,2969.5,-41116.700000000004,-7367.100000000002,-1080.8,0.0,1331.0,2112.9,-803.8000000000001,18464.300000000003,30866.999999999993,-621.6000000000495,-681.4000000000698,599.3,1675.8,-326.0999999999999,-862.5,-4703.9000000000015,-5086.1,-594.8,0.0,858.0,1675.8,-681.4000000000698,-621.6000000000495,10544.100000000022,1268816.2999999998,-463690.1,53317.19999999984,-572739.9,-282342.70000000007,1577986.2,309169.89999999997,17357.500000000004,-803.8000000000001,0.004441327673074335,0.0046472829340760535,0.00793972970976878,0.017677821232795165,0.0225730387868275,-6558.786920520884,3130.0694444527617,8283.82129748634,7284.499999999993,-12724.871496696058,18161.300000000003,935.2000000000007,20586.3,-5950.399999999998,10816.99999999999,2373.499999999991,-41116.700000000004,3202.4999999999854,-8447.900000000001,-1.8189894035458565e-12
2012,499420.6,517919.3,349919.7,358105.5,0.9771413731428309,581447.2000000001,40430.1,39520.6,0.9775043841098587,72690.8,81504.7,0.8918602240116215,82026.5,86437.3,0.9489711039100018,0.9642826594799614,0.963,79270.8,82316.5109034268,821372.8,-2281.2,80120.4,0.09717410572858626,3912.7,-671.8,19808.8,20569.88577362409,385535.2,-2568.4,23266.2,0.05941909434289932,-259.0,-190.6,2237.0,2322.949117341641,9181.2,-94.8,2324.8,0.24827527285930928,-1562.7,-449.6,17999.5,18691.069574247143,561641.1,-1150.2,16744.7,0.029819432930895857,-2462.1,1311.9,371.0,0.0,119316.1,123900.41536863967,852931.2564901351,400348.07892004156,-0.006559386660060629,0.9689398106616296,251307.7,251431.0,-123.3,6286.0,280.0,39.99856824689787,-3.0826103384228674,6282.9173896615775,6566.0,0.042643923240938165,48879.7,26013.3,2756.0,0.0,77648.9,215015.4,125623.2,60111.0,12536.5,16744.7,77087.1,71371.3,64284.8,70000.60000000002,7137.8,-949.5,704.0,-76892.90000000002,-1278.7,-1278.7,405173.7,379160.4,388030.2384295597,103486.4,28800.09999999999,27962.0,8084.800000000001,10422.6,7072.500000000001,-18832.8,-40606.3,-4249.5,-3878.5,3878.5,0.0978728150180429,0.06860763940538094,0.18788249726223571,466323.1,0.5389132556375612,0.5771628758653907,192.51113,19.0,3697.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,415.88463136029895,320629.0,1716067.5999999999,83396.69999999988,-29376.399999999907,1361658.0328806865,1756212.1993468783,947145.4999999999,310380.89999999997,199637.6,494130.2,-246927.60000000003,-253816.2,-591017.4999999999,-438744.60000000003,129455.7,0.0,-75277.09999999999,494130.19999999995,310380.89999999997,947145.4999999999,1280387.4,12635.3,1596.9,-200.3,4571.2,25689.6,-3020.4,-36738.700000000004,-9365.400000000001,5486.9,0.0,-2266.2,4571.200000000001,1596.9,12635.3,20414.5,2491.5999999999076,-385.9000000000001,33957.3,9472.0,-6720.299999999999,-53002.600000000006,18461.1,-48983.4,25915.7,0.0,-6870.4,9472.0,-385.9000000000001,2491.5999999999076,37579.4999999999,1330532.4,-500743.80000000005,74215.49999999988,-591017.4999999999,-309288.9,1640913.2999999998,310380.89999999997,17006.2,1596.9,0.003768375608605014,0.004819562028462448,0.007225166767481504,0.02192946976943595,0.02282232178750935,-7043.750483334559,6334.126396964013,5717.152900280106,7734.5000000000255,-13295.912657518216,15409.300000000001,7324.5,22669.199999999997,-6130.899999999994,2538.7000000000007,-4533.8,-36738.700000000004,3867.5999999999985,-3878.500000000002,-1.8189894035458565e-12
2013,512677.5,532072.3,360207.4,367943.9,0.9789736968054097,610204.8,41113.5,40007.9,0.9731085896360077,83015.1,85086.2,0.9756588024850095,97527.3,92484.7,1.0545236130949227,0.9635485628550856,0.976,82360.9,84386.16803278688,837556.2,15037.0,81214.5,0.09887653937408201,3324.3,-2823.5,21624.0,22155.737704918032,395288.5,11620.3,23491.0,0.060930882575702554,-266.3,1496.1,2546.6,2609.22131147541,9357.2,-44.3,2326.3,0.25337646495011545,-1917.2,-50.4,20442.9,20945.594262295082,577527.7,12430.4,16986.7,0.030244759509231077,-1724.6,1377.8,583.8,0.0,126974.4,130096.72131147541,858151.844262295,405008.70901639346,0.030140697918114866,0.9981443327956172,253577.4,253705.1,-127.7,6338.0,256.0,40.02920479646576,-3.190170792782644,6334.809829207217,6594.0,0.038823172581134366,51775.7,27832.3,3245.0,0.0,82853.1,224887.1,133519.8,61447.5,12933.3,16986.7,77453.8,72576.9,65434.3,70311.20000000001,6320.9,-737.6,1218.8,-77113.3,-1057.3,-1057.3,409604.7,381772.4,389972.07100231707,111019.4,34806.3,20507.7,-2878.6999999999994,10864.3,6450.899999999999,-13673.3,-37218.6,-2392.9,-1809.1000000000001,1809.1000000000001,0.1009907788034388,0.0729028604477432,0.1914147679979238,478464.5,0.5299816391811722,0.567878414848553,199.049648,20.0,3272.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.67868852464017,308830.69999999995,1757681.8,85923.20000000029,-13642.5,1391654.6526691846,1795433.1211713587,959609.5000000001,314670.5,220874.1,496580.2,-221184.69999999995,-307540.8,-591170.2,-478263.30000000005,162472.4,0.0,-75805.7,496580.2,314670.5,959609.5000000001,1293890.9000000004,12523.8,5161.7,-1784.4,-122.3,30950.7,-5056.299999999999,-32377.000000000004,-13954.400000000001,12145.3,0.0,-5304.6,-122.29999999999995,5161.7,12523.8,15380.700000000004,-59.79999999976644,-872.0999999999649,23020.9,2572.3,-5207.799999999999,-48668.3,32224.3,-25564.3,20871.4,0.0,4776.0,2572.3,-872.0999999999649,-59.79999999976644,-1877.1999999998015,1362393.3,-528725.5,76566.00000000029,-591170.2,-315790.9,1677063.8,314670.5,10617.1,5161.7,0.003001533436257144,0.00763878406142298,0.007377909102996057,0.009171203414124075,0.02216824634478929,-7146.706910506051,9282.682961292507,5322.969104543315,7878.299999999999,-16013.46165448585,5455.400000000001,8334.1,25894.4,-8911.900000000001,2836.3000000000056,-3614.599999999993,-32377.000000000004,4841.599999999995,-1809.1000000000022,-2.0463630789890885e-12
